,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name
0,https://www.lazada.vn/products/ban-moi-2023-camera-an-ninh-gia-dinh-a9-plus-ket-noi-wifi-dien-thoai-xem-tu-xa-camera-mini-sieu-nho-hong-ngoai-quay-ban-dem-hinh-anh-sac-net-ca-ngay-va-dem-sieu-ben-i2182583012.html,"( BẢN MỚI 2023 ) Camera an ninh gia đình A9 Plus kết nối Wifi điện thoại xem từ xa - Camera mini siêu nhỏ Hồng Ngoại Quay Ban Đêm, Hình Ảnh Sắc Nét Cả Ngày Và Đêm, Siêu Bền.",169.055 ₫,1,1.0,47%off,1.0,(30),1.0,86 Đã bán,Hồ Chí Minh,70Mai
1,https://www.lazada.vn/products/camera-ngoai-troi-yoosee-4-rau-32-led-do-phan-giai-full-hd-1920x1080p-camera-wifi-goc-rong-ban-dem-co-mau-i2101686764.html,"Camera Ngoài Trời Yoosee 4 râu 32 LED, độ phân giải FULL HD 1920x1080p - Camera wifi góc rộng ban đêm có màu",399.000 ₫,2,2.0,39%off,2.0,(114),2.0,143 Đã bán,Hà Nội,YooSee
2,https://www.lazada.vn/products/camera-hanh-trinh-xiaomi-70mai-m500-phien-ban-quoc-te-do-net-cao-ket-noi-wifi-tien-loi-do-phan-giai-1944p-i1739749425.html,Camera Hành Trình Xiaomi 70mai M500 Phiên Bản QUỐC TẾ Độ Nét Cao Kết Nối WiFi Tiện Lợi độ phân giải 1944P,1.997.000 ₫,3,3.0,20%off,3.0,(55),3.0,194 Đã bán,Hồ Chí Minh,No Brand
3,https://www.lazada.vn/products/chinh-hang-camera-hanh-trinh-k4-cam-ung-4-inch-full-hd-sieu-net-canh-bao-va-cham-phia-truoc-chong-rung-tu-dong-bao-hanh-12-thang-loi-1-doi-1-i1945305322.html,"[Chính Hãng] Camera hành trình K4, cảm ứng 4 inch Full HD siêu nét, Cảnh báo va chạm phía trước, Chống Rung tự động -Bảo Hành 12 tháng lỗi 1 đổi 1",685.000 ₫,4,4.0,14%off,4.0,(38),4.0,249 Đã bán,Hà Nội,OEM
4,https://www.lazada.vn/products/camera-4-in-1-20-megapixel-dahua-hac-hfw1200tlp-ma-moi-hac-hfw1200tlp-i1718651594.html,Camera 4 in 1 2.0 Megapixel DAHUA HAC-HFW1200TLP-S4 (MÃ MỚI HAC-HFW1200TLP-S5),405.000 ₫,5,,,,,,,Hồ Chí Minh,YooSee
5,https://www.lazada.vn/products/hcmcamera-ip-wifi-yoosee-3-rau-hd-new-xoay-360-do-hinh-anh-sac-net-i1271936262.html,[HCM]CAMERA IP WIFI YOOSEE 3 RÂU HD New XOAY 360 ĐỘ - Hình ảnh sắc nét,219.000 ₫,6,6.0,51%off,6.0,(474),6.0,"2,331 Đã bán",Hồ Chí Minh,Dahua
6,https://www.lazada.vn/products/llsee-camera-ip-wifi-ptz-fhd-3mp-pro-h265-icsee-camera-khong-day-phat-hien-nguoi-ai-zoom-4x-ptz-ngoai-troi-cctv-camera-cctv-an-ninh-am-thanh-onvif-p2p-i1810720405.html,LLSEE Camera IP Wifi PTZ FHD 3MP PRO H.265 ICSEE Camera Không Dây Phát Hiện Người AI Zoom 4X PTZ Ngoài Trời CCTV Camera CCTV An Ninh Âm Thanh ONVIF P2P,552.000 ₫,7,7.0,22%off,7.0,(20),7.0,214 Đã bán,Nước ngoài,No Brand
7,https://www.lazada.vn/products/camera-chuan-30mpx-model-2021-co-2-ma-co-the-va-ko-the-camera-wifi-yoosee-5-rau-30mpx-full-hd-model-moi-nhat-i1119834789.html,( CAMERA CHUẨN 3.0MPX MODEL 2021 có 2 mã có thẻ và ko thẻ ) Camera Wifi Yoosee 5 râu 3.0Mpx Full HD Model mới nhất,340.000 ₫,8,8.0,43%off,8.0,(188),8.0,"1,055 Đã bán",Bắc Ninh,No Brand
8,https://www.lazada.vn/products/camera-hanh-trinh-xiaomi-70mai-dash-cam-pro-plus-a500s-phien-ban-quoc-te-do-net-cao-ket-noi-wifi-tien-loi-1944p-i1739751139.html,Camera Hành Trình Xiaomi 70mai Dash Cam Pro Plus A500S Phiên Bản QUỐC TẾ Độ Nét Cao Kết Nối WiFi Tiện Lợi 1944P,1.583.000 ₫,9,9.0,25%off,9.0,(73),9.0,257 Đã bán,Hồ Chí Minh,70Mai
9,https://www.lazada.vn/products/tang-kem-nguon-25k-camera-ip-wifi-trong-nha-xoay-360-do-sony-paf200-full-hd-1080p-chuan-onvif-dam-thoai-2-chieeeuf-ho-tro-the-nho-len-den-128gb-tang-kem-nguon-5v2a-25k-i479628273.html,"[ TẶNG KÈM NGUỒN 25K] Camera IP wifi trong nhà Xoay 360 độ SONY - PAF200 Full HD 1080P chuẩn ONVIF, đàm thoại 2 chieeeuf, hỗ trợ thẻ nhớ lên đến 128gb, TẶNG KÈM NGUỒN 5V2A 25K",365.000 ₫,10,10.0,34%off,10.0,(85),10.0,301 Đã bán,Hà Nội,No Brand
10,https://www.lazada.vn/products/camera-yoosee-ptz-bong-den-fhd-1080p-ro-net-co-den-led-chieu-sang-ban-dem-xoay-360d-dam-thoai-2-chieu-i2036686654.html,"Camera Yoosee PTZ bóng đèn FHD 1080p Rõ nét, Có đèn Led chiếu sáng ban đêm, Xoay 360đ, Đàm thoại 2 chiều",209.000 ₫,11,11.0,48%off,11.0,(348),11.0,"1,412 Đã bán",Hà Nội,Sony
11,https://www.lazada.vn/products/camera-wifi-ngoai-troi-vitacam-dz3000-pro-4mpx-2k-led-tro-sang-quay-dem-co-mau-dam-thoai-2-chieu-moi-2023-i2019535530.html,"Camera Wifi Ngoài trời Vitacam DZ3000 Pro 4mpx 2K LED trợ sáng Quay đêm có màu, Đàm thoại 2 chiều - Mới 2023",645.000 ₫,12,,,,,,,Hồ Chí Minh,Vitacam
12,https://www.lazada.vn/products/camera-wifi-c1c-b-20-ezviz-i1361080183.html,Camera Wifi C1C-B 2.0 Ezviz,450.000 ₫,13,,,,,,,Đà Nẵng,Ezviz
13,https://www.lazada.vn/products/tuy-chon-camera-the-128gb64gb32gb-camera-ngoai-troi-xoay-360-do-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-camera-trong-nha-an-phat-company-i1223079977.html,"Tùy chọn camera Thẻ 128GB/64GB/32GB - Camera Ngoài Trời Xoay 360 Độ Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Camera trong nhà - An Phat Company",478.000 ₫,14,14.0,48%off,14.0,(518),14.0,"2,203 Đã bán",Bắc Ninh,Ezviz
14,https://www.lazada.vn/products/freeship-hoan-tien-combo-3-camera-wifi-ezviz-c6n-2mp-full-hd-1080p-xoay-360-do-dam-thoai-2-chieu-phat-hien-chuyen-dong-bao-hanh-2-nam-i2193840156.html,"[FREESHIP + HOÀN TIỀN] Combo 3 Camera WIFI EZVIZ C6N 2MP, Full HD 1080P, Xoay 360 độ, Đàm Thoại 2 Chiều, Phát Hiện Chuyển Động, Bảo Hành 2 Năm",1.519.000 ₫,15,15.0,48%off,15.0,(3),15.0,204 Đã bán,Hồ Chí Minh,OEM
15,https://www.lazada.vn/products/camera-mini-gan-sim-4g-sieu-net-camera-mini-4g-lite-full-hd-1080p-da-chuc-nang-quay-video-chup-anh-ghi-am-quan-sat-theo-doi-tu-xa-xem-truc-tiep-tren-dien-thoai-qua-4g-hoac-wifi-i2024570310.html,"Camera Mini Gắn Sim 4G ,Siêu Nét Camera Mini S13 4G LITE Full hd 1080P - Đa Chức Năng: Quay Video, Chụp Ảnh, Ghi Âm, Quan Sát Theo Dõi Từ Xa, Xem Trực Tiếp Trên Điên Thoại Qua 4G Hoặc Wifi",1.399.000 ₫,16,16.0,50%off,16.0,(67),16.0,206 Đã bán,Hồ Chí Minh,YooSee
16,https://www.lazada.vn/products/hcm-camera-ngoai-troi-yoosee-318s-8-led-50-mpx-1296p-utral-hd-8led-ip-wifi-than-ngoai-troi-50-2304x1296p-2-anten-top-camera-i1987806589.html,"[HCM] Camera Ngoài Trời Yoosee 318s 8 Led 5.0 MPX - 1296P Utral HD, 8LED, IP Wifi Thân Ngoài trời (5.0 - 2304X1296p, 2 Anten)- TOP CAMERA",645.000 ₫,17,17.0,6%off,17.0,(67),17.0,154 Đã bán,Hồ Chí Minh,YooSee
17,https://www.lazada.vn/products/camera-ngoai-troi-yoosee-516-4r-50mp-4-rau-ngoai-troi-36-led-sieu-net-i1861101319.html,Camera Ngoài Trời YOOSEE 516-4R 5.0MP 4 râu ngoài trời 36 LED siêu nét,419.000 ₫,18,18.0,46%off,18.0,(22),18.0,109 Đã bán,Hồ Chí Minh,YooSee
18,https://www.lazada.vn/products/camera-ezviz-chinh-hang-i1709424706.html,Camera Ezviz chính hãng,450.000 ₫,19,,,,,,,Đà Nẵng,Ezviz
19,https://www.lazada.vn/products/camera-wifi-dong-ho-treo-tuong-de-ban-cac-loai-i1667763757.html,Camera wifi đồng hồ treo tường để bàn các loại,1.200.000 ₫,20,,,,,,,Hà Nội,X-CAM
